queryId,avatar_name,avatar_id,language,city,date,mobile,user_history,user_history_by_city,hotel_id,price,stock
2123,disanqpx,122558,austrian,paris,17,0,0,0,0,199,28
5426,phljfcnd,239191,austrian,paris,17,0,3,3,0,199,28
1998,uxihsjqt,81577,austrian,paris,21,0,0,0,0,190,48
5335,dnoktxpr,239163,austrian,paris,21,0,2,2,0,190,48
1542,qftpmoyr,81110,czech,paris,13,1,0,0,0,248,18
5069,ruadkvtm,239074,czech,paris,13,1,2,2,0,248,18
468,procrastinators-68,56330,danish,paris,8,0,0,0,0,258,10
4850,mwbhqaci,239002,danish,paris,8,0,1,1,0,258,10
2060,helysdxm,122485,estonian,paris,20,0,0,0,0,179,43
5383,amorjxkc,239177,estonian,paris,20,0,3,3,0,182,43
1283,mwquodtg,69646,estonian,paris,21,0,0,0,0,179,48
5382,amorjxkc,239177,estonian,paris,21,0,2,2,0,179,48
4987,owvmcuti,239048,estonian,paris,21,0,4,4,0,187,48
2002,xzigjslm,81581,greek,paris,11,1,0,0,0,252,15
5338,uopcqnla,239164,greek,paris,11,1,2,2,0,256,15
1219,avatar-25,69606,slovakian,paris,18,0,0,0,0,176,32
4963,ehqriayl,239040,slovakian,paris,18,0,1,1,0,176,32
1136,messi-8,67400,swedish,paris,13,1,0,0,0,263,18
4948,zrfkexim,239033,swedish,paris,13,1,1,1,0,263,18
2064,wxqcbokd,122489,swedish,paris,16,0,0,0,0,212,24
5385,gzljkbhr,239178,swedish,paris,16,0,1,1,0,212,24
1568,dazrtksv,81136,austrian,copenhagen,2,1,0,0,1,101,0
5082,lucrbsqy,239079,austrian,copenhagen,2,1,1,1,1,101,0
302,mldmprocrastinators-47,56247,bulgarian,copenhagen,0,1,0,0,1,95,0
4819,srtufjew,238992,bulgarian,copenhagen,0,1,1,1,1,95,0
360,mldmprocrastinators-80,56280,danish,copenhagen,12,0,0,0,1,101,0
4832,qecdlhst,238996,danish,copenhagen,12,0,2,2,1,102,0
219,mldmprocrastinators-8,56208,estonian,copenhagen,20,1,0,0,1,95,0
4811,xbcjqran,238988,estonian,copenhagen,20,1,1,1,1,95,0
798,mostafa-68,56502,finnish,copenhagen,3,1,0,0,1,103,0
4908,azsepbtn,239021,finnish,copenhagen,3,1,1,1,1,103,0
2050,pqmolhit,122472,finnish,copenhagen,5,0,0,0,1,103,0
5375,kiotvdyu,239175,finnish,copenhagen,5,0,2,2,1,103,0
1230,snfgcobv,69617,hungarian,copenhagen,0,0,0,0,1,95,0
4971,obkiryxg,239043,hungarian,copenhagen,0,0,1,1,1,95,0
2067,jlskmnqw,122492,romanian,copenhagen,17,0,0,0,1,95,0
5389,ujsofqhx,239179,romanian,copenhagen,17,0,3,3,1,96,0
2141,uvpwlbjo,122579,slovakian,copenhagen,4,1,0,0,1,93,0
5443,zcbxofjp,239196,slovakian,copenhagen,4,1,2,2,1,93,0
2099,arnybwgc,122529,swedish,copenhagen,1,0,0,0,1,101,0
5413,jbdilmga,239187,swedish,copenhagen,1,0,2,2,1,101,0
696,badie-64,56448,bulgarian,madrid,2,1,0,0,2,92,0
1959,hbzlsfmo,81539,bulgarian,madrid,2,1,0,0,2,92,0
5309,isazlvge,239154,bulgarian,madrid,2,1,1,1,2,92,0
734,mostafa-33,56467,cypriot,madrid,1,1,0,0,2,95,0
4895,tmjayuoh,239016,cypriot,madrid,1,1,2,2,2,96,0
209,mldmprocrastinators-2,56202,cypriot,madrid,2,0,0,0,2,95,0
1468,fbzvkwid,76437,cypriot,madrid,2,0,0,0,2,95,0
5018,budxekwm,239059,cypriot,madrid,2,0,1,1,2,95,0
4809,rgzybunm,238987,cypriot,madrid,2,0,1,1,2,95,0
1961,jwopkaxs,81541,cypriot,madrid,2,1,0,0,2,95,0
5311,qugyrzkm,239155,cypriot,madrid,2,1,1,1,2,95,0
743,mostafa-39,56473,danish,madrid,1,1,0,0,2,97,0
4897,caugxfrv,239017,danish,madrid,1,1,1,1,2,97,0
1470,ksvhxyaf,76439,danish,madrid,2,0,0,0,2,97,0
5022,slyvraof,239060,danish,madrid,2,0,3,3,2,97,0
1963,dhxluagp,81543,danish,madrid,2,1,0,0,2,97,0
5314,ngzwmvky,239156,danish,madrid,2,1,2,2,2,97,0
1508,sqndmzhj,81076,danish,madrid,11,1,0,0,2,97,0
5054,fcovdtek,239069,danish,madrid,11,1,3,3,2,99,0
1966,pwnzbixa,81546,finnish,madrid,2,1,0,0,2,99,0
5318,kyctesgl,239157,finnish,madrid,2,1,3,3,2,99,0
873,mldmprocrastinators-125,56524,finnish,madrid,4,1,0,0,2,99,0
4916,lfdcmqyk,239024,finnish,madrid,4,1,1,1,2,99,0
1474,zxofpvka,76443,french,madrid,2,0,0,0,2,92,0
5024,wuvnhoem,239061,french,madrid,2,0,1,1,2,92,0
1494,pmxsnqtg,81062,german,madrid,2,1,0,0,2,94,0
1968,abievohj,81548,german,madrid,2,1,0,0,2,94,0
5044,cpwigndu,239067,german,madrid,2,1,1,1,2,94,0
1476,snflydpg,76445,greek,madrid,2,0,0,0,2,95,0
5027,ioekajmz,239062,greek,madrid,2,0,2,2,2,95,0
1970,jsczvbag,81550,hungarian,madrid,2,1,0,0,2,90,0
5320,eyhjqmud,239158,hungarian,madrid,2,1,1,1,2,90,0
2116,cwfxodus,122550,hungarian,madrid,3,0,0,0,2,90,0
5420,dbfstzml,239189,hungarian,madrid,3,0,3,3,2,90,0
2090,mhfusjny,122518,hungarian,madrid,5,0,0,0,2,90,0
5407,razqnjmw,239185,hungarian,madrid,5,0,3,3,2,90,0
2121,bxvcaujk,122556,irish,madrid,1,0,0,0,2,92,0
5422,xaeqhmyp,239190,irish,madrid,1,0,1,1,2,92,0
559,beltran-53,56372,italian,madrid,0,0,0,0,2,92,0
4864,zvfyrbus,239007,italian,madrid,0,0,3,3,2,92,0
1479,hdpzlfai,76448,italian,madrid,2,0,0,0,2,92,0
5030,ltudairw,239063,italian,madrid,2,0,2,2,2,92,0
1972,ovnswglj,81552,italian,madrid,2,1,0,0,2,92,0
5322,xhfpbutl,239159,italian,madrid,2,1,1,1,2,92,0
1102,pepito-3,67381,latvian,madrid,6,1,0,0,2,95,0
4941,lkqmzvwp,239030,latvian,madrid,6,1,2,2,2,96,0
1974,unlzxkda,81554,lithuanian,madrid,2,1,0,0,2,95,0
5327,qvgizrft,239160,lithuanian,madrid,2,1,4,4,2,95,0
1482,kapimson,76451,luxembourgish,madrid,2,0,0,0,2,92,0
5033,teaonqji,239064,luxembourgish,madrid,2,0,2,2,2,92,0
2037,juayhxlo,122458,maltese,madrid,5,1,0,0,2,94,0
5365,zgwpxcia,239172,maltese,madrid,5,1,3,3,2,97,0
694,badie-62,56446,polish,madrid,2,0,0,0,2,95,0
1484,crqdobyu,76453,polish,madrid,2,0,0,0,2,95,0
