queryId,avatar_name,avatar_id,language,city,date,mobile
2681,auzrmnvx,128998,latvian,vienna,21,0
2682,xlmsobzw,128999,latvian,vienna,40,1
2683,skhtulqv,129000,maltese,vienna,35,1
2684,ecdnqlib,129001,polish,vienna,5,1
2685,mlcqtsye,129002,romanian,vienna,1,0
2686,vtdlmery,129003,romanian,vienna,15,1
2687,lyufqbsv,129004,romanian,vienna,34,1
2688,kpvrmjno,129005,romanian,vienna,35,1
2689,jkqaeyxi,129006,romanian,vienna,39,0
2690,ywjkoxzs,129007,slovakian,vienna,4,1
2691,ugdnwerq,129008,slovakian,vienna,6,1
2692,xuqvwpia,129009,slovakian,vienna,15,0
2693,rosavwfh,129010,slovakian,vienna,21,0
2694,pbhcvzsm,129011,slovakian,vienna,37,0
2695,yhabdptx,129012,slovene,vienna,3,1
2696,bmfusjxw,129013,slovene,vienna,6,1
2697,ohygitzp,129014,slovene,vienna,38,1
2698,mslctgae,129015,spanish,vienna,15,0
2699,iazbfghl,129016,swedish,vienna,0,1
2700,fwbnhmpq,129017,swedish,vienna,5,1
2701,vrhefiaq,129018,swedish,vienna,34,1
2702,lesnmhxg,129019,swedish,vienna,36,0
2703,ochnrxfu,129020,swedish,vienna,40,1
2704,ozjwxiks,129021,austrian,vilnius,1,0
2705,zdpqbuoa,129022,austrian,vilnius,4,0
2706,rbkndlsc,129023,austrian,vilnius,5,0
2707,upnjcmxi,129024,austrian,vilnius,16,0
2708,kcozylen,129025,austrian,vilnius,35,1
2709,nfabksgp,129026,belgian,vilnius,20,0
2710,aonzvtyp,129027,bulgarian,vilnius,5,0
2711,qrgajupl,129028,bulgarian,vilnius,6,1
2712,ijsatluw,129029,bulgarian,vilnius,16,1
2713,cwrghfxs,129030,bulgarian,vilnius,17,0
2714,pinzcvrw,129031,bulgarian,vilnius,18,0
2715,ronckxtg,129032,bulgarian,vilnius,19,0
2716,yuvhamcr,129033,bulgarian,vilnius,36,1
2717,ixmlaujp,129034,croatian,vilnius,34,1
2718,ajpuisbg,129035,croatian,vilnius,40,1
2719,gcvuqfxn,129036,czech,vilnius,3,1
2720,aqgjchxr,129037,czech,vilnius,5,0
2721,dlrgvyob,129038,danish,vilnius,2,0
2722,romsyifh,129039,danish,vilnius,5,1
2723,dgvqumzr,129040,danish,vilnius,6,1
2724,fjnakxlo,129041,danish,vilnius,20,0
2725,jnpeuvqk,129042,danish,vilnius,39,1
2726,ythzmrpj,129043,danish,vilnius,40,1
2727,lzrmhauy,129044,dutch,vilnius,15,1
2728,ivunpbag,129045,estonian,vilnius,4,0
2729,vdofghkz,129046,estonian,vilnius,6,0
2730,xgwthzro,129047,estonian,vilnius,15,1
2731,ormpbzij,129048,estonian,vilnius,39,1
2732,lhtnbsra,129049,finnish,vilnius,1,1
2733,clqpkswf,129050,finnish,vilnius,15,1
2734,hjelzukv,129051,finnish,vilnius,17,0
2735,wrzmgftk,129052,finnish,vilnius,21,0
2736,gkpmbrtc,129053,finnish,vilnius,34,1
2737,itruoywb,129054,finnish,vilnius,36,1
2738,xudkhrav,129055,finnish,vilnius,39,1
2739,gkxrseil,129056,french,vilnius,5,1
2740,vhfipcsw,129057,german,vilnius,1,1
2741,ahpmorzc,129058,greek,vilnius,3,0
2742,rwznimoh,129059,hungarian,vilnius,0,0
2743,nwsdkgxe,129060,hungarian,vilnius,1,1
2744,lymzvofs,129061,hungarian,vilnius,15,1
2745,bishqoem,129062,hungarian,vilnius,16,0
2746,jliufbem,129063,hungarian,vilnius,19,0
2747,haktpgml,129064,hungarian,vilnius,21,0
2748,jahmkosf,129065,hungarian,vilnius,40,1
2749,njeyqavd,129066,irish,vilnius,6,1
2750,oiwvzgtq,129067,irish,vilnius,36,1
2751,zapwuryt,129068,italian,vilnius,0,0
2752,qywjcnhz,129069,latvian,vilnius,1,0
2753,oztbclrg,129070,latvian,vilnius,2,0
2754,kftsijqg,129071,latvian,vilnius,4,0
2755,aqpschod,129072,latvian,vilnius,39,1
2756,xlgcepqd,129073,lithuanian,vilnius,4,1
2757,tfbplajw,129074,luxembourgish,vilnius,0,1
2758,hoytwpid,129075,luxembourgish,vilnius,21,0
2759,ncdbwgsx,129076,maltese,vilnius,16,0
2760,xdtgnamb,129077,maltese,vilnius,37,1
2761,qszedxyv,129078,maltese,vilnius,38,0
2762,wjplhguv,129079,polish,vilnius,18,0
2763,ohnyeswl,129080,polish,vilnius,19,0
2764,cbmfiend,129081,polish,vilnius,37,0
2765,vcgpamzt,129082,polish,vilnius,38,0
2766,lcamkuzx,129083,portuguese,vilnius,18,0
2767,gueopxfj,129084,romanian,vilnius,3,1
2768,tinrkwxu,129085,romanian,vilnius,20,0
2769,svqohnma,129086,romanian,vilnius,21,1
2770,gcznswpo,129087,romanian,vilnius,38,0
2771,ejdgubfx,129088,slovakian,vilnius,5,1
2772,abjfiqte,129089,slovakian,vilnius,35,1
2773,jygnlkdv,129090,slovakian,vilnius,37,1
2774,xvuslfac,129091,spanish,vilnius,6,0
2775,ahujosfv,129092,spanish,vilnius,19,0
2776,musrtolz,129093,spanish,vilnius,35,1
2777,rkljiosa,129094,swedish,vilnius,18,0
2778,rnuhjobv,129095,swedish,vilnius,21,1
2779,ekszbguo,129096,swedish,vilnius,37,1
2780,lztfvyoe,129097,swedish,vilnius,38,0
