queryId,avatar_name,avatar_id,language,city,date,mobile
4791,erxfzomd,238979,czech,rome,18,1
4792,erxfzomd,238979,czech,rome,15,1
4793,bkzonlxa,238980,finnish,rome,7,0
4794,fnvgculo,238981,swedish,vienna,44,0
4795,enafrchd,238982,hungarian,valletta,9,0
4796,msdzicqo,238983,french,sofia,40,0
4797,msdzicqo,238983,french,sofia,12,0
4781,ryquecbk,237970,finnish,paris,21,0
4782,ryquecbk,237970,finnish,paris,16,0
4783,fvqswaph,237971,hungarian,sofia,2,1
4784,fvqswaph,237971,hungarian,sofia,1,1
4785,dlzrgxmy,237972,danish,vienna,34,0
4786,dlzrgxmy,237972,danish,vienna,18,0
4787,dlzrgxmy,237972,danish,vienna,15,0
4788,pdyzrsag,237973,cypriot,paris,39,0
4789,pdyzrsag,237973,cypriot,paris,4,0
4790,gzipeuoj,237974,finnish,paris,4,1
4881,urmayqgs,239012,spanish,amsterdam,29,1
4882,urmayqgs,239012,spanish,amsterdam,18,1
4883,urmayqgs,239012,spanish,amsterdam,2,1
4884,rwmblfze,239013,polish,madrid,43,0
4885,rwmblfze,239013,polish,madrid,38,0
4886,rwmblfze,239013,polish,madrid,36,0
4887,rwmblfze,239013,polish,madrid,17,0
4888,rwmblfze,239013,polish,madrid,2,0
4889,gouzdckt,239014,spanish,rome,21,1
4890,gouzdckt,239014,spanish,rome,0,1
4891,lfpuvckb,239015,slovene,vilnius,35,0
4892,lfpuvckb,239015,slovene,vilnius,0,0
4893,tmjayuoh,239016,cypriot,madrid,36,1
4894,tmjayuoh,239016,cypriot,madrid,6,1
4895,tmjayuoh,239016,cypriot,madrid,1,1
4896,caugxfrv,239017,danish,madrid,10,1
4897,caugxfrv,239017,danish,madrid,1,1
4898,xzesuygw,239018,swedish,paris,27,0
4899,xzesuygw,239018,swedish,paris,1,0
4900,ywufkxvl,239019,croatian,vilnius,41,1
4901,ywufkxvl,239019,croatian,vilnius,38,1
4902,ywufkxvl,239019,croatian,vilnius,22,1
4903,ywufkxvl,239019,croatian,vilnius,11,1
4904,ywufkxvl,239019,croatian,vilnius,0,1
4905,ykrgtzli,239020,spanish,valletta,12,1
4906,ykrgtzli,239020,spanish,valletta,8,1
4907,azsepbtn,239021,finnish,copenhagen,40,1
4908,azsepbtn,239021,finnish,copenhagen,3,1
4909,vatpsdni,239022,spanish,vilnius,42,1
4910,vatpsdni,239022,spanish,vilnius,22,1
4911,vatpsdni,239022,spanish,vilnius,2,1
4912,aswuboeg,239023,maltese,sofia,36,0
4913,aswuboeg,239023,maltese,sofia,32,0
4914,aswuboeg,239023,maltese,sofia,3,0
4915,lfdcmqyk,239024,finnish,madrid,40,1
4916,lfdcmqyk,239024,finnish,madrid,4,1
4917,gyftukmb,239025,polish,vilnius,41,0
4918,gyftukmb,239025,polish,vilnius,29,0
4919,gyftukmb,239025,polish,vilnius,25,0
4920,gyftukmb,239025,polish,vilnius,24,0
4921,gyftukmb,239025,polish,vilnius,23,0
4922,gyftukmb,239025,polish,vilnius,11,0
4923,gyftukmb,239025,polish,vilnius,8,0
4924,avufdrkp,239026,dutch,rome,25,0
4925,avufdrkp,239026,dutch,rome,19,0
4926,avufdrkp,239026,dutch,rome,14,0
4927,avufdrkp,239026,dutch,rome,8,0
4928,avufdrkp,239026,dutch,rome,3,0
4929,evxpafdw,239027,irish,amsterdam,27,0
4930,evxpafdw,239027,irish,amsterdam,14,0
4931,evxpafdw,239027,irish,amsterdam,13,0
4932,evxpafdw,239027,irish,amsterdam,1,0
4933,areidgvy,239028,italian,amsterdam,43,0
4934,areidgvy,239028,italian,amsterdam,22,0
4935,areidgvy,239028,italian,amsterdam,0,0
4936,ysjxgpot,239029,romanian,valletta,43,0
4937,ysjxgpot,239029,romanian,valletta,30,0
4938,ysjxgpot,239029,romanian,valletta,9,0
4939,lkqmzvwp,239030,latvian,madrid,41,1
4940,lkqmzvwp,239030,latvian,madrid,11,1
4941,lkqmzvwp,239030,latvian,madrid,6,1
4942,wfzcikyn,239031,slovene,amsterdam,35,1
4943,wfzcikyn,239031,slovene,amsterdam,12,1
4944,erhdtpiw,239032,croatian,rome,27,1
4945,erhdtpiw,239032,croatian,rome,24,1
4946,erhdtpiw,239032,croatian,rome,5,1
