queryId,avatar_name,avatar_id,language,city,date,mobile
2481,qcdsniue,128798,slovakian,rome,38,1
2482,vhwlbjaq,128799,slovakian,rome,40,0
2483,ucgweykq,128800,slovene,rome,0,0
2484,vaousgbh,128801,slovene,rome,34,0
2485,qltxchiv,128802,slovene,rome,35,1
2486,siplfjyg,128803,slovene,rome,39,0
2487,hzapktbc,128804,spanish,rome,16,1
2488,kjlmdayq,128805,spanish,rome,18,1
2489,gpxqcamd,128806,swedish,rome,17,1
2490,ybuitwcr,128807,swedish,rome,18,1
2491,azckiqpy,128808,swedish,rome,34,0
2492,whamjqeu,128809,swedish,rome,38,1
2493,iwzgabfx,128810,swedish,rome,39,0
2494,hmyitpvw,128811,austrian,sofia,15,1
2495,ydtwogsh,128812,austrian,sofia,18,0
2496,xzgujcad,128813,austrian,sofia,20,0
2497,kicsrauw,128814,austrian,sofia,21,0
2498,itdxokcj,128815,austrian,sofia,34,1
2499,ugvmehax,128816,austrian,sofia,39,1
2500,eowhquki,128817,austrian,sofia,40,1
2501,fcbmhqzt,128818,belgian,sofia,36,1
2502,rkqdxvzh,128819,belgian,sofia,37,0
2503,royahmgs,128820,bulgarian,sofia,0,1
2504,hiknbyqm,128821,bulgarian,sofia,17,1
2505,hptsgylv,128822,danish,sofia,1,1
2506,vzkthaji,128823,danish,sofia,4,1
2507,gqkihvem,128824,danish,sofia,6,1
2508,chupeksv,128825,danish,sofia,36,1
2509,vnwtpaeq,128826,dutch,sofia,2,0
2510,otsexnay,128827,dutch,sofia,6,1
2511,qdvuyzwi,128828,dutch,sofia,21,0
2512,kynqcowa,128829,dutch,sofia,36,0
2513,dowampzg,128830,estonian,sofia,0,0
2514,xnbohyms,128831,estonian,sofia,3,1
2515,qwnhxjod,128832,estonian,sofia,19,1
2516,ecqgwtpf,128833,estonian,sofia,21,0
2517,clnvqgtr,128834,estonian,sofia,36,1
2518,qmitpkrj,128835,estonian,sofia,37,0
2519,etbudxcl,128836,finnish,sofia,2,1
2520,efrckabg,128837,finnish,sofia,21,0
2521,uqghbxtf,128838,finnish,sofia,38,0
2522,nbwrzigs,128839,finnish,sofia,39,1
2523,oaruktps,128840,german,sofia,5,1
2524,poifedhz,128841,greek,sofia,1,0
2525,kabgczhx,128842,hungarian,sofia,5,1
2526,ponzldra,128843,hungarian,sofia,6,0
2527,vgrpjzha,128844,hungarian,sofia,15,1
2528,aqykzgex,128845,hungarian,sofia,16,1
2529,fjbamwoi,128846,hungarian,sofia,19,1
2530,bgvwehok,128847,hungarian,sofia,20,1
2531,imzclngb,128848,hungarian,sofia,38,1
2532,rkyzidsx,128849,hungarian,sofia,39,1
2533,ystfcxem,128850,irish,sofia,3,1
2534,vtudpink,128851,irish,sofia,38,0
2535,usrcpwjn,128852,italian,sofia,1,1
2536,armuvfcg,128853,latvian,sofia,0,0
2537,kxdflynm,128854,latvian,sofia,19,1
2538,cvgnterf,128855,latvian,sofia,35,0
2539,gelzdbiw,128856,latvian,sofia,39,1
2540,dhuxrmfc,128857,luxembourgish,sofia,2,1
2541,nyftgsda,128858,polish,sofia,15,1
2542,ysprnxcu,128859,polish,sofia,18,0
2543,hxjramtq,128860,portuguese,sofia,6,0
2544,mvhoarui,128861,romanian,sofia,2,0
2545,qrdgihcb,128862,romanian,sofia,35,0
2546,prhixmun,128863,slovakian,sofia,5,1
2547,vjxwozgs,128864,slovakian,sofia,15,1
2548,godslymn,128865,slovakian,sofia,18,0
2549,wvkpjrlf,128866,slovakian,sofia,20,1
2550,pebfvyuj,128867,slovakian,sofia,34,1
2551,mnkgcixo,128868,slovakian,sofia,38,0
2552,ulrxwkgf,128869,slovakian,sofia,40,1
2553,fvhwkpem,128870,slovene,sofia,4,0
2554,webkfypc,128871,slovene,sofia,16,1
2555,vfjhdlno,128872,slovene,sofia,17,1
2556,rfvckdlg,128873,spanish,sofia,5,0
2557,sigtrajy,128874,spanish,sofia,34,1
2558,suxnczip,128875,spanish,sofia,40,1
2559,fsjtenrh,128876,swedish,sofia,1,0
2560,daciunpv,128877,swedish,sofia,2,0
2561,brdnfqku,128878,swedish,sofia,3,0
2562,swaxqlmf,128879,swedish,sofia,17,1
2563,rpgjfhis,128880,swedish,sofia,35,0
2564,qmitrkuj,128881,swedish,sofia,37,0
2565,nyvpamjh,128882,austrian,valletta,1,1
2566,pmwgftui,128883,austrian,valletta,4,0
2567,hdixpufn,128884,austrian,valletta,15,1
2568,zvukhxgw,128885,austrian,valletta,17,0
2569,sqlexatv,128886,austrian,valletta,21,0
2570,kgpnajlx,128887,austrian,valletta,36,1
2571,akiouxrq,128888,belgian,valletta,2,0
2572,wqyacmup,128889,belgian,valletta,4,1
2573,phzmodtl,128890,belgian,valletta,5,1
2574,bcheyfms,128891,belgian,valletta,15,0
2575,xdgecnsz,128892,belgian,valletta,18,1
2576,fghyvpum,128893,bulgarian,valletta,1,0
2577,caodngjw,128894,bulgarian,valletta,2,1
2578,iclqfymj,128895,bulgarian,valletta,3,1
2579,txwfrzuo,128896,bulgarian,valletta,16,0
2580,tnwmxulr,128897,bulgarian,valletta,18,1
