queryId,avatar_name,avatar_id,language,city,date,mobile
0,procrastinators,41279,czech,rome,1,1
1,procrastinators-2,41284,austrian,vilnius,12,1
2,procrastinators-2,41284,belgian,sofia,1,0
3,procrastinators-3,41286,swedish,madrid,44,1
4,procrastinators-3,41286,greek,vienna,40,1
5,procrastinators-3,41286,greek,vienna,36,1
6,procrastinators-3,41286,irish,rome,36,1
7,procrastinators-3,41286,irish,madrid,32,1
8,procrastinators-3,41286,austrian,vilnius,30,1
9,procrastinators-3,41286,portuguese,paris,28,1
10,procrastinators-3,41286,estonian,vienna,24,0
11,procrastinators-3,41286,german,amsterdam,20,0
12,procrastinators-3,41286,czech,madrid,16,0
13,procrastinators-3,41286,czech,sofia,12,1
14,procrastinators-3,41286,romanian,valletta,8,1
15,procrastinators-3,41286,italian,rome,6,1
16,procrastinators-3,41286,romanian,madrid,5,1
17,procrastinators-3,41286,dutch,rome,4,0
18,procrastinators-3,41286,belgian,sofia,3,0
19,procrastinators-3,41286,italian,paris,3,0
20,procrastinators-3,41286,croatian,sofia,3,1
21,procrastinators-3,41286,lithuanian,vienna,2,1
22,procrastinators-3,41286,spanish,valletta,2,1
23,procrastinators-3,41286,latvian,sofia,2,0
24,procrastinators-3,41286,croatian,sofia,1,1
25,procrastinators-3,41286,italian,copenhagen,1,1
26,procrastinators-3,41286,slovakian,madrid,0,1
27,procrastinators-3,41286,greek,rome,0,0
28,procrastinators-3,41286,austrian,madrid,0,0
29,procrastinators-5,55739,luxembourgish,valletta,16,0
30,procrastinators-7,55741,irish,madrid,12,0
31,procrastinators-8,55742,greek,paris,24,1
32,procrastinators-8,55742,german,vilnius,12,1
33,procrastinators-9,55846,greek,madrid,20,0
34,procrastinators-5,55739,bulgarian,paris,16,0
35,procrastinators-5,55739,maltese,valletta,0,0
36,procrastinators-7,55741,dutch,vienna,12,0
37,procrastinators-8,55742,italian,amsterdam,3,0
38,procrastinators-9,55846,estonian,copenhagen,3,0
39,procrastinators-1,55630,french,madrid,0,0
40,procrastinators-6,55740,lithuanian,madrid,4,0
41,procrastinators-6,55740,swedish,paris,3,1
42,procrastinators-6,55740,italian,sofia,3,1
43,procrastinators-6,55740,danish,vilnius,1,1
44,procrastinators-10,55892,german,paris,16,0
45,procrastinators-11,55893,czech,amsterdam,24,0
46,procrastinators-12,55895,belgian,copenhagen,20,1
47,procrastinators-13,55896,croatian,paris,0,1
48,procrastinators-14,55897,belgian,copenhagen,28,0
49,procrastinators-15,55898,lithuanian,amsterdam,44,1
50,procrastinators-15,55898,belgian,rome,44,0
51,procrastinators-15,55898,german,sofia,40,1
52,procrastinators-15,55898,spanish,paris,8,0
53,procrastinators-16,55900,swedish,paris,0,0
54,procrastinators-17,55901,latvian,rome,24,0
55,procrastinators-17,55901,hungarian,rome,2,0
56,procrastinators-18,55903,latvian,rome,2,1
57,procrastinators-19,55904,greek,valletta,2,0
58,procrastinators-20,55905,dutch,paris,1,1
59,procrastinators-21,55906,slovakian,sofia,8,0
60,procrastinators-22,55908,french,sofia,44,1
61,procrastinators-22,55908,danish,sofia,36,0
62,procrastinators-22,55908,latvian,sofia,12,1
63,procrastinators-23,55909,maltese,madrid,8,0
64,procrastinators-23,55909,romanian,vienna,4,0
65,procrastinators-24,55910,maltese,madrid,32,0
66,procrastinators-24,55910,belgian,vienna,8,1
67,procrastinators-24,55910,austrian,sofia,1,0
68,procrastinators-25,55912,greek,vilnius,12,0
69,procrastinators-26,55913,bulgarian,madrid,2,1
70,procrastinators-27,55914,german,amsterdam,40,0
