index,price
0,143.0
1,150.0
2,146.5
3,153.0
4,153.0
5,221.0
6,143.0
7,140.0
8,148.0
9,148.0
10,150.0
11,236.0
12,140.0
13,144.0
14,148.5
15,146.5
16,150.0
17,150.0
18,148.5
19,154.0
20,151.5
21,141.5
22,142.5
23,148.5
24,153.0
25,153.0
26,139.0
27,147.0
28,139.5
29,176.5
30,146.5
31,147.0
32,144.0
33,141.0
34,157.0
35,176.5
36,158.0
37,193.5
38,166.0
39,156.5
40,158.5
41,197.0
42,158.0
43,142.5
44,147.0
45,170.0
46,167.0
47,142.5
48,180.0
49,142.5
50,162.0
51,173.5
52,158.0
53,144.0
54,144.0
55,144.0
56,158.0
57,145.5
58,70.0
59,56.5
60,69.0
61,56.5
62,82.5
63,69.5
64,70.0
65,59.0
66,58.5
67,70.0
68,73.5
69,69.5
70,69.5
71,59.0
72,110.0
73,58.5
74,73.5
75,71.5
76,59.0
77,70.0
78,117.0
79,69.5
80,60.5
81,59.0
82,56.5
83,88.5
84,56.5
85,59.0
86,71.0
87,73.5
88,95.0
89,87.5
90,73.0
91,69.5
92,71.5
93,63.0
94,86.5
95,70.0
96,79.5
97,130.5
98,74.5
99,74.0
100,71.5
101,71.5
102,98.5
103,75.0
104,72.5
105,74.5
106,99.5
107,79.0
108,78.0
109,71.5
110,75.5
111,76.5
112,82.0
113,72.5
114,71.5
115,74.5
116,66.0
117,78.0
118,72.0
119,85.5
120,87.0
121,68.0
122,75.5
123,55.5
124,85.0
125,68.5
126,67.5
127,104.0
128,55.0
129,66.0
130,71.0
131,71.5
132,71.5
133,77.0
134,64.0
135,76.5
136,74.5
137,75.5
138,72.0
139,69.0
140,70.0
141,70.0
142,77.0
143,71.5
144,73.0
145,79.0
146,66.0
147,57.5
148,71.0
149,74.5
150,85.0
151,66.0
152,66.0
153,70.5
154,85.0
155,81.5
156,71.5
157,80.0
158,77.0
159,94.5
160,71.5
161,82.0
162,71.0
163,78.0
164,70.0
165,73.0
166,74.0
167,68.0
168,76.0
169,79.5
170,66.0
171,72.0
172,71.0
173,60.0
174,80.0
175,71.0
176,257.5
177,270.0
178,180.5
179,189.0
180,329.5
181,357.0
182,303.5
183,267.5
184,351.0
185,196.5
186,267.0
187,275.5
188,367.5
189,333.5
190,260.0
191,293.0
192,316.5
193,212.0
194,224.0
195,291.0
196,214.0
197,384.0
198,265.0
199,276.5
200,352.5
201,352.5
202,191.5
203,265.0
204,325.0
205,330.0
206,426.0
207,357.0
208,297.0
209,195.5
210,272.5
211,341.5
212,215.0
213,410.0
214,324.5
215,336.5
216,285.0
217,191.5
218,286.5
219,151.0
220,265.0
221,357.0
222,214.0
223,249.5
224,191.5
225,268.0
226,353.5
227,310.0
228,343.5
229,315.5
230,350.0
231,336.0
232,265.0
233,311.5
234,287.5
235,225.5
236,230.5
237,178.5
238,242.5
239,336.0
240,330.0
241,352.5
242,305.0
243,360.0
244,207.0
245,209.0
246,399.5
247,245.0
248,178.5
249,264.5
250,408.0
251,210.0
252,289.0
253,272.5
254,267.0
255,225.0
256,337.0
257,240.5
