index,price
0,110.26090476190477
1,110.5105
2,110.53957142857143
3,110.48266666666666
4,110.94383333333333
5,112.57883333333334
6,110.26757142857144
7,112.51473809523809
8,112.7512380952381
9,112.4375
10,112.60383333333333
11,114.79816666666666
12,113.49166666666665
13,111.12099999999998
14,109.25821428571429
15,110.9062380952381
16,113.89183333333337
17,110.5975
18,113.99383333333336
19,111.0162380952381
20,115.87378571428572
21,113.72166666666664
22,110.32590476190478
23,109.48969047619052
24,113.89183333333332
25,114.28183333333332
26,112.006
27,112.36723809523808
28,113.75433333333332
29,137.1
30,139.13
31,140.11
32,138.98
33,142.28
34,158.34
35,141.05
36,143.51
37,144.24
38,140.57
39,142.74
40,161.41
41,156.9
42,143.36
43,139.86
44,144.02
45,142.84
46,141.56
47,142.86
48,140.87
49,141.73
50,160.54
51,137.55
52,140.98
53,142.07
54,142.2
55,141.78
56,142.2
57,140.42
58,74.20788095238095
59,68.49426190476191
60,66.02496825396825
61,64.84421428571427
62,76.59483333333334
63,73.89066666666668
64,75.5385
65,71.85966666666667
66,70.48130158730159
67,76.30247619047617
68,76.5605
69,77.16941666666668
70,74.04681746031748
71,71.53533333333334
72,77.37228571428572
73,69.00280158730158
74,79.0965
75,74.784
76,76.65878571428571
77,80.02542857142855
78,80.43811904761905
79,77.90866666666669
80,75.54980952380951
81,71.70633333333332
82,71.146
83,71.54
84,70.36566666666668
85,71.07066666666667
86,70.32266666666668
87,59.25
88,59.01
89,58.51
90,56.09
91,59.19
92,56.86
93,59.52
94,62.08
95,60.15
96,61.46
97,61.94
98,58.36
99,54.82
100,58.64
101,60.09166666666666
102,61.7
103,61.4
104,58.4
105,61.3
106,58.99
107,60.625142857142855
108,54.3
109,53.55
110,55.0
111,61.85
112,59.84
113,59.78
114,56.68
115,59.59
116,59.72
117,58.72
118,59.85
119,58.07
120,61.07666666666666
121,62.19
122,57.15
123,60.17
124,62.08
125,56.46
126,56.84
127,61.27
128,60.526666666666664
129,56.29
130,59.04
131,58.44
132,58.45
133,58.26166666666666
134,56.7
135,58.6
136,60.87
137,59.85
138,57.47
139,60.54
140,58.99
141,57.49
142,59.04
143,53.54
144,62.01
145,62.14
146,59.44
147,59.97480952380952
148,60.59
149,61.53
150,59.61
151,58.91
152,61.89
153,59.8
154,62.72
155,59.42666666666666
156,60.53666666666666
157,56.38
158,58.33
159,60.92
160,58.36
161,55.92
162,59.346666666666664
163,59.18
164,61.07
165,56.58
166,60.34700000000001
167,56.32
168,56.77
169,58.08
170,62.26
171,62.08
172,59.467000000000006
173,59.58200000000001
174,59.57
175,57.2
176,191.26
177,226.26
178,198.63
179,225.84
180,246.01
181,233.92
182,250.61666666666667
183,198.78
184,240.28
185,197.95
186,247.41
187,243.7
188,241.79
189,233.92
190,184.91
191,198.03
192,242.75
193,176.58
194,198.0
195,230.36
196,185.71
197,294.49
198,233.28
199,241.7
200,255.51666666666668
201,249.7566666666667
202,197.78
203,233.28
204,381.29040476190477
205,238.22
206,371.23583333333335
207,252.01
208,243.26
209,186.11
210,304.12
211,251.6
212,183.78
213,386.32266666666663
214,243.85
215,233.92
216,197.93
217,184.81
218,235.43
219,230.04
220,233.14
221,235.57
222,178.45
223,224.57
224,175.84
225,242.26
226,384.67900000000003
227,251.25
228,242.51
229,235.43
230,242.21
231,250.95
232,233.28
233,247.05
234,247.05
235,235.29
236,185.18
237,184.92
238,198.09
239,249.01
240,236.01
241,254.80666666666667
242,252.11
243,382.9558333333334
244,180.8
245,184.94
246,236.15
247,193.46
248,184.26
249,197.88
250,294.49
251,231.26
252,230.18
253,300.59
254,299.69
255,185.46
256,377.44166666666666
257,224.57
258,174.03
259,305.33
260,251.74
261,185.49
262,185.27
263,195.97
264,226.33
265,110.31090476190477
266,109.94633333333333
267,110.61390476190473
268,109.88099999999999
269,115.06999999999998
270,114.69097619047623
271,111.848
272,110.38757142857145
273,116.7331893939394
274,114.40183333333333
275,121.44022619047617
276,119.08734920634919
277,116.79650000000001
278,114.08534523809523
279,112.14
280,114.05673809523809
281,119.39864285714285
282,106.62
283,112.3475
284,112.60383333333333
285,113.06
286,113.93980158730163
287,113.79090476190476
288,115.69035714285715
289,114.26066666666665
290,112.73
291,112.251
292,114.08814285714288
293,120.67444047619048
294,114.14898809523807
295,114.43814285714285
296,123.26317857142854
297,118.27486904761905
298,112.12049999999999
299,120.7094285714286
300,123.04110714285714
301,109.415
302,120.5074285714286
303,114.26383333333331
304,114.62814285714289
305,112.57473809523808
306,111.97049999999999
307,114.24955158730158
308,113.89183333333337
309,114.07111111111111
310,114.28896428571431
311,107.79
312,110.5975
313,108.16
314,118.35862554112556
315,120.82437337662337
316,123.11422619047622
317,118.22237301587307
318,114.34701190476187
319,116.16983333333336
320,116.25416666666666
321,113.51956709956714
322,121.31230952380953
323,120.83775000000003
324,113.83859523809522
325,112.12
326,111.33
327,110.95623809523809
328,115.48623809523808
329,113.90974206349205
330,113.03833333333333
331,123.11160714285714
332,121.52716666666669
333,108.41
334,108.45
335,112.39896825396825
336,110.12590476190479
337,111.55
